generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
31;1989008716;@I00596@;Odon;DE RAZES DE COMMINGES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=odon&n=de+razes+de+comminges;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 944
- Décédé vers 1011, à l'âge d'environ 67 ans";0;
31;1989008753;@I00597@;Constance;DE PROVENCE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=constance&n=de+provence;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née vers 935
- Décédée vers 965, à l'âge d'environ 30 ans";0;
31;1989008758;@I00598@;Renaud;DE ROUCY;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=renaud&n=de+roucy;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédé en 967";0;
31;1989008759;@I00599@;Albérade;DE HAINAUT;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=alberade&n=de+hainaut;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédée";0;
31;1989008752;@I00600@;Boson;DE PROVENCE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=boson&n=de+provence;3;0;1;2;forme2;;"";"Comte de Provence et d'Arles";"";"";"";0;0;"- Né vers 928
- Décédé en 968, à l'âge d'environ 40 ans
- Comte de Provence et d'Arles";0;
31;1989008757;@I00601@;Gerberge;DE CHALON;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gerberge&n=de+chalon;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédée";0;
31;1989008756;@I00602@;Adalbert 2;D'IVREE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=adalbert+2&n=d+ivree;2;0;0;0;;;"";"";"";"";"";0;0;"- Né en 936
- Décédé en 971, à l'âge de 35 ans";0;
31;1989008754;@I00603@;Foulques 2 le Bon Foulco;D'ANJOU;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=foulques+2+le+bon+foulco&n=d+anjou;3;0;1;0;;;"";"Comte d'Anjou";"";"";"";0;0;"- Né vers 910
- Décédé en 960, à l'âge d'environ 50 ans
- Comte d'Anjou";0;
31;1989008755;@I00604@;Gerberge;DU MAINE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gerberge&n=du+maine;2;0;1;0;;;"";"";"";"";"";0;0;"- Née vers 915
- Décédée vers 977, à l'âge d'environ 62 ans";0;
31;1989008761;@I00605@;Judith;DE BRETAGNE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=judith&n=de+bretagne;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 920
- Décédée";0;
31;1989008762;@I00606@;Arinulfe;D'ARLES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=arinulfe&n=d+arles;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 920
- Décédé en 965, à l'âge de 45 ans";0;
30;994500960;@I00607@;Emmenon;DE SABRAN;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=emmenon&n=de+sabran;3;0;0;2;forme2;;"";"Seigneur de Tresques";"";"";"";0;0;"- Né vers 990
- Décédé en 1043, à l'âge d'environ 53 ans
- Seigneur de Tresques";0;
31;1989008760;@I00608@;Pons " Major";DE FOS;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=pons+major&n=de+fos;2;0;2;0;;;"";"";"";"";"";0;0;"- Né en 910
- Décédé en 979, à l'âge de 69 ans
@todo vérifier les événements pour Pons " Major" DE FOS (2 erreur(s) détectée(s))";2;
30;994500961;@I00609@;Ermengarde Gersende;DE BEZIERS;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=ermengarde+gersende&n=de+beziers;2;0;0;2;forme2;;"";"";"";"";"";0;0;"- Née vers 990
- Décédée en 1037, à l'âge d'environ 47 ans";0;
30;994503373;@I00610@;Giraude;DE SABRAN;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=giraude&n=de+sabran;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née en 1025
- Décédée";0;
30;994503372;@I00611@;Bermond;D' UZES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=bermond&n=d+uzes;2;0;1;0;;;"";"";"";"";"";0;0;"- Né - Uzeste, 33537, Gironde, Aquitaine, France
- Décédé";0;
